70,2,1,6,1900,420000
230,4,3,7,1950,1900000
190,4,3,2,1970,1650000
116,3,2,1,1970,840000
200,5,3,3,1950,1180000
145,3,3,5,1900,1090000
210,5,2,5,1900,1340000
250,4,1,5,1800,1450000
225,4,3,3,1700,2348000
82,2,1,2,1700,782000
93,2,1,1,1900,440000
215,5,3,2,1900,1650000
175,5,3,1,1970,1350000
112,3,2,4,1900,790000
550,7,4,3,1900,5000000
156,3,2,3,1937,971000
175,4,3,2,1958,1225000
64,3,2,0,1900,409000
165,3,2,1,1900,1375000
230,4,3,0,1900,1140000
139,4,2,1,1940,785000
258,5,3,5,1940,1767000
40,1,1,2,1940,238000
132,3,2,1,1940,746000
40,1,1,5,1940,274000
79,2,1,5,1940,541000
160,4,2,2,1955,790000
139,4,2,2,1940,827000
79,2,1,2,1940,470000
165,4,2,3,1940,1031000
202,4,2,2,1940,1202000
80,2,1,2,1800,620000
125,3,1,1,1940,780000
160,5,2,2,1800,980000
265,5,3,5,1980,1790000
170,4,2,2,1800,1760000
85,3,1,1,1700,600000
125,3,1,4,1900,650000
190,4,3,2,1900,1200000
107,3,2,3,1967,550000
60,2,1,2,1900,795000
101,3,1,3,1900,935000
150,3,3,5,1900,1100000
130,4,1,4,1800,1100000
85,3,2,5,1920,700000
230,5,3,2,1880,1200000
90,3,1,1,1940,780000
170,4,2,3,1950,840000
83,2,1,1,1823,660000
129,3,2,3,1700,1100000
245,6,3,2,1848,1990000
70,1,1,1,1900,330000
180,3,2,1,1950,850000
95,3,2,3,1700,850000
95,2,1,0,2007,800000
55,2,1,1,1900,430000
140,3,2,2,1900,870000
48,2,1,4,1960,460000
180,5,2,1,1930,1200000
40,1,1,1,2012,350000
210,5,3,2,1920,1550000
60,2,1,2,1900,290000
150,5,2,4,1900,1090000
170,5,2,3,1960,840000
125,3,2,1,1920,680000
80,3,2,1,1900,590000
220,4,3,4,1960,2200000
211,3,3,2,1824,2104000
120,3,1,6,1920,760000
55,2,1,1,1940,439000
90,2,1,2,1700,780000
140,4,2,3,1970,750000
199,3,2,5,1900,1700000
80,3,1,3,1920,850000
55,1,1,2,1880,390000
140,3,2,1,2016,1200000
150,3,3,1,1900,1790000
150,4,1,2,1880,1150000
105,3,1,1,1960,530000
242,4,3,2,1824,2350000
90,3,2,4,1900,500000
113,3,2,2,1900,850000
371,5,3,1,1824,3300000
135,5,2,5,1900,885000
140,4,2,2,1920,870000
90,2,2,2,1900,690000
210,3,2,2,1875,2200000
156,4,2,0,1824,1425000
150,4,2,2,1900,1100000
166,4,2,1,1900,1088000
190,5,2,1,1800,1250000
150,4,2,4,1930,1090000
168,3,2,2,2010,1190000
150,3,2,2,1900,980000
341,6,3,4,2010,2910000
65,2,1,1,1900,410000
120,3,2,3,1900,900000
80,2,1,2,1900,600000
145,3,2,4,1960,950000
120,3,2,7,1950,890000
